ICADCode,type,currency,externalCost,interestRate,ticker,fitchRatings,maturityLb,maturityUp,haircut,FXHaircut,agreementId,marginType
SE-CASH,CASH,SEK,0.0001,0,,,,,0,0.05,a31|a32|a33|a34|a35|a36|a37|a38|a39|a40|a41|a42|a43,Variation|Initial
KR-CASH,CASH,KRW,0.0001,0,,,,,0,0.99,a31|a32|a33|a34|a35|a36|a37|a38|a39|a40|a41|a42|a43,Variation|Initial
NZ-CASH,CASH,NZD,0.0001,0,,,,,0,0.05,a31|a32|a33|a34|a35|a36|a37|a38|a39|a40|a41|a42|a43,Variation|Initial
,,,,,,,,,,,,
US-TBILL,TBILL,USD,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",0,1,0.005,0,a34|a37|a38|a43,Initial
US-STRIP,TSTRIP,USD,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",0,30,0.11,0,a34|a37|a38|a43,Initial
US-TBILL,TBILL,USD,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",0,1,0.005,0.05,a31|a32|a33|a35|a36|a39|a40|a41|a42,Initial
US-STRIP,TSTRIP,USD,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",0,30,0.11,0.05,a31|a32|a33|a35|a36|a39|a40|a41|a42,Initial
,,,,,,,,,,,,
JP-JGB,BOND,JPY,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",0,5,0.05,0,a35|a36|a40,Initial
JP-JGB,BOND,JPY,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",5,10,0.075,0,a35|a36|a40,Initial
JP-JGB,BOND,JPY,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",10,30,0.09,0,a35|a36|a40,Initial
JP-JGB,BOND,JPY,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",0,5,0.05,0.05,a31|a32|a33|a34|a37|a38|a39|a41|a42|a43,Initial
JP-JGB,BOND,JPY,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",5,10,0.075,0.05,a31|a32|a33|a34|a37|a38|a39|a41|a42|a43,Initial
JP-JGB,BOND,JPY,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",10,30,0.09,0.05,a31|a32|a33|a34|a37|a38|a39|a41|a42|a43,Initial
,,,,,,,,,,,,
SG-TBILL,BILL,SGD,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",0,5,0.05,0,a39|a41|a42,Initial
SG-BOND,BOND,SGD,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",0,5,0.06,0,a39|a41|a42,Initial
SG-BOND,BOND,SGD,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",5,10,0.075,0,a39|a41|a42,Initial
SG-TBILL,BILL,SGD,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",0,5,0.05,0.05,a31|a32|a33|a34|a35|a36|a37|a38|a40|a43,Initial
SG-BOND,BOND,SGD,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",0,5,0.06,0.05,a31|a32|a33|a34|a35|a36|a37|a38|a40|a43,Initial
SG-BOND,BOND,SGD,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",5,10,0.075,0.05,a31|a32|a33|a34|a35|a36|a37|a38|a40|a43,Initial
,,,,,,,,,,,,
GB-SUPR2,NOTE,USD,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",0,5,0.06,0,a31|a32|a33,Initial
GB-SUPR2,BOND,GBP,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",5,10,0.075,0,a31|a32|a33,Initial
GB-GILT,BOND,GBP,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",0,5,0.05,0,a31|a32|a33,Initial
GB-GILT,BOND,GBP,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",5,10,0.075,0,a31|a32|a33,Initial
GB-GILT,BOND,GBP,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",10,30,0.09,0,a31|a32|a33,Initial
GB-GILT,BOND,GBP,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",30,999,0.105,0,a31|a32|a33,Initial
GB-TBILL,BILL,GBP,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",0,5,0.05,0,a31|a32|a33,Initial
GB-SUPR2,NOTE,USD,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",0,5,0.06,0.05,a34|a35|a36|a37|a38|a39|a40|a41|a42|a43,Initial
GB-SUPR2,BOND,GBP,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",5,10,0.075,0.05,a34|a35|a36|a37|a38|a39|a40|a41|a42|a43,Initial
GB-GILT,BOND,GBP,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",0,5,0.05,0.05,a34|a35|a36|a37|a38|a39|a40|a41|a42|a43,Initial
GB-GILT,BOND,GBP,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",5,10,0.075,0.05,a34|a35|a36|a37|a38|a39|a40|a41|a42|a43,Initial
GB-GILT,BOND,GBP,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",10,30,0.09,0.05,a34|a35|a36|a37|a38|a39|a40|a41|a42|a43,Initial
GB-GILT,BOND,GBP,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",30,999,0.105,0.05,a34|a35|a36|a37|a38|a39|a40|a41|a42|a43,Initial
GB-TBILL,BILL,GBP,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",0,5,0.05,0.05,a34|a35|a36|a37|a38|a39|a40|a41|a42|a43,Initial
,,,,,,,,,,,,
AU-BILL,BILL,AUD,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",0,5,0.05,0.05,a31|a32|a33|a34|a35|a36|a37|a38|a39|a40|a41|a42|a43,Initial
,,,,,,,,,,,,
CA-BOND,CBOND,CAD,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",0,5,0.06,0.05,a31|a32|a33|a34|a35|a36|a37|a38|a39|a40|a41|a42|a43,Initial
CA-BOND,CBOND,CAD,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",5,10,0.075,0.05,a31|a32|a33|a34|a35|a36|a37|a38|a39|a40|a41|a42|a43,Initial
CA-BOND,CBOND,CAD,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",10,30,0.09,0.05,a31|a32|a33|a34|a35|a36|a37|a38|a39|a40|a41|a42|a43,Initial
CA-BOND,CBOND,CAD,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",30,999,0.105,0.05,a31|a32|a33|a34|a35|a36|a37|a38|a39|a40|a41|a42|a43,Initial
,,,,,,,,,,,,
DE-NOTE2,NOTE,EUR,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",0,5,0.06,0.05,a31|a32|a33|a34|a35|a36|a37|a38|a39|a40|a41|a42|a43,Initial
DE-NOTE5.5,NOTE,EUR,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",0,5,0.06,0.05,a31|a32|a33|a34|a35|a36|a37|a38|a39|a40|a41|a42|a43,Initial
DE-NOTE5.5,NOTE,EUR,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",5,10,0.075,0.05,a31|a32|a33|a34|a35|a36|a37|a38|a39|a40|a41|a42|a43,Initial
DE-BOND,BOND,EUR,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",10,30,0.09,0.05,a31|a32|a33|a34|a35|a36|a37|a38|a39|a40|a41|a42|a43,Initial
DE-BOND,BOND,EUR,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",5,10,0.075,0.05,a31|a32|a33|a34|a35|a36|a37|a38|a39|a40|a41|a42|a43,Initial
DE-BOND,BOND,EUR,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",0,5,0.06,0.05,a31|a32|a33|a34|a35|a36|a37|a38|a39|a40|a41|a42|a43,Initial
DE-BILL,BILL,EUR,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",0,5,0.05,0.05,a31|a32|a33|a34|a35|a36|a37|a38|a39|a40|a41|a42|a43,Initial
FR-OAT,BOND,EUR,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",0,5,0.06,0.05,a31|a32|a33|a34|a35|a36|a37|a38|a39|a40|a41|a42|a43,Initial
FR-OAT,BOND,EUR,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",5,10,0.075,0.05,a31|a32|a33|a34|a35|a36|a37|a38|a39|a40|a41|a42|a43,Initial
FR-BTAN,NOTE,EUR,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",0,5,0.06,0.05,a31|a32|a33|a34|a35|a36|a37|a38|a39|a40|a41|a42|a43,Initial
FR-STRIP,BOND,EUR,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",0,5,0.06,0.05,a31|a32|a33|a34|a35|a36|a37|a38|a39|a40|a41|a42|a43,Initial
FR-STRIP,BOND,EUR,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",5,10,0.075,0.05,a31|a32|a33|a34|a35|a36|a37|a38|a39|a40|a41|a42|a43,Initial
FR-STRIP,BOND,EUR,0.00005,0,,"AAA,AA+,AA,AA-,A+,A",10,30,0.09,0.05,a31|a32|a33|a34|a35|a36|a37|a38|a39|a40|a41|a42|a43,Initial
,,,,,,,,,,,,
US-EQUITY-S&P500,EQUITY,USD,0.00005,0,GS,,,,0.3,0,a34|a37|a38|a43,Initial
US-EQUITY-S&P500,EQUITY,USD,0.00005,0,JPM,,,,0.3,0,a34|a37|a38|a43,Initial
US-EQUITY-S&P500,EQUITY,USD,0.00005,0,GE,,,,0.3,0,a34|a37|a38|a43,Initial
US-EQUITY-S&P500,EQUITY,USD,0.00005,0,XOM,,,,0.3,0,a34|a37|a38|a43,Initial
US-EQUITY-S&P500,EQUITY,USD,0.00005,0,IBM,,,,0.3,0,a34|a37|a38|a43,Initial
US-EQUITY-S&P500,EQUITY,USD,0.00005,0,MCD,,,,0.3,0,a34|a37|a38|a43,Initial
US-EQUITY-S&P500,EQUITY,USD,0.00005,0,GS,,,,0.3,0.05,a31|a32|a33|a34|a35|a36|a37|a38|a39|a40|a41|a42|a43,Initial
US-EQUITY-S&P500,EQUITY,USD,0.00005,0,JPM,,,,0.3,0.05,a31|a32|a33|a34|a35|a36|a37|a38|a39|a40|a41|a42|a43,Initial
US-EQUITY-S&P500,EQUITY,USD,0.00005,0,GE,,,,0.3,0.05,a31|a32|a33|a34|a35|a36|a37|a38|a39|a40|a41|a42|a43,Initial
US-EQUITY-S&P500,EQUITY,USD,0.00005,0,XOM,,,,0.3,0.05,a31|a32|a33|a34|a35|a36|a37|a38|a39|a40|a41|a42|a43,Initial
US-EQUITY-S&P500,EQUITY,USD,0.00005,0,IBM,,,,0.3,0.05,a31|a32|a33|a34|a35|a36|a37|a38|a39|a40|a41|a42|a43,Initial
US-EQUITY-S&P500,EQUITY,USD,0.00005,0,MCD,,,,0.3,0.05,a31|a32|a33|a34|a35|a36|a37|a38|a39|a40|a41|a42|a43,Initial
