Date,creationTime,PV,Currency,TradeId,Source
27/11/16,12:00:00,8525956.8,EUR,cdst1,Markit
27/11/16,12:00:00,14209928,EUR,cdst2,Markit
27/11/16,12:00:00,8525958.7,EUR,cdst3,Markit
27/11/16,12:00:00,14209928.95,EUR,cdst4,Markit
27/11/16,12:00:00,8525960.59,EUR,cdst5,Markit
27/11/16,12:00:00,28893.52,EUR,ndft1,Markit
27/11/16,12:00:00,28894.47,EUR,ndft2,Markit
27/11/16,12:00:00,28895.41,EUR,ndft3,Markit
27/11/16,12:00:00,28896.36,EUR,ndft4,Markit
27/11/16,12:00:00,28897.31,EUR,ndft5,Markit
27/11/16,12:00:00,-4736.64,EUR,fxsi1,Markit
27/11/16,12:00:00,-4735.7,EUR,fxsi2,Markit
27/11/16,12:00:00,-4734.75,EUR,fxsi3,Markit
27/11/16,12:00:00,-4733.8,EUR,fxsi4,Markit
27/11/16,12:00:00,-4732.85,EUR,fxsi5,Markit
27/11/16,12:00:00,-142099.28,EUR,fxsw1,Markit
27/11/16,12:00:00,-236832.13,EUR,fxsw2,Markit
27/11/16,12:00:00,-161045.85,EUR,fxsw3,Markit
27/11/16,12:00:00,-217885.56,EUR,fxsw4,Markit
27/11/16,12:00:00,0,EUR,fxsw5,Markit
27/11/16,12:00:00,28893.52,EUR,optv1,Markit
27/11/16,12:00:00,28894.47,EUR,optv2,Markit
27/11/16,12:00:00,28895.41,EUR,optv3,Markit
27/11/16,12:00:00,28896.36,EUR,optv4,Markit
27/11/16,12:00:00,28897.31,EUR,optv5,Markit
27/11/16,12:00:00,28893.52,EUR,optb1,Markit
27/11/16,12:00:00,28894.47,EUR,optb2,Markit
27/11/16,12:00:00,28895.41,EUR,optb3,Markit
27/11/16,12:00:00,28896.36,EUR,optb4,Markit
27/11/16,12:00:00,28897.31,EUR,optb5,Markit
27/11/16,12:00:00,-14209.93,EUR,fra1,Markit
27/11/16,12:00:00,-14208.98,EUR,fra2,Markit
27/11/16,12:00:00,-14208.03,EUR,fra3,Markit
27/11/16,12:00:00,-14207.09,EUR,fra4,Markit
27/11/16,12:00:00,-14206.14,EUR,fra5,Markit
27/11/16,12:00:00,0,EUR,zcs1,Markit
27/11/16,12:00:00,0,EUR,zcs2,Markit
27/11/16,12:00:00,0,EUR,zcs3,Markit
27/11/16,12:00:00,0,EUR,zcs4,Markit
27/11/16,12:00:00,0,EUR,zcs5,Markit
27/11/16,12:00:00,-14209.93,EUR,swopt1,Markit
27/11/16,12:00:00,-18946.57,EUR,swopt2,Markit
27/11/16,12:00:00,47366.43,EUR,swopt3,Markit
27/11/16,12:00:00,71049.64,EUR,swopt4,Markit
27/11/16,12:00:00,-4736.64,EUR,swopt5,Markit
