AgreementName,AgreementId,AgreementDate,Type,CCP,Party1,Party2,MTA1,MTA2,InitialBalance1,InitialBalance2,VariationBalance1,VariationBalance2,Rounding1,Rounding2,HolidayZone1,HolidayZone2,NotificationTime
agr42,a42,30/06/13,regulatoryOTC,,e1,e9,2500,2500,1541,1441,14999,-14999,500,500,London,London,12:00:00
agr43,a43,01/07/13,cleared,LCH Clearnet LTD,e2,,,,,,,,,,,,12:00:00
agr44,a44,02/07/13,cleared,LCH Clearnet LTD,e2,,,,,,,,,,,,12:00:00
agr45,a45,03/07/13,bilateralOTC,,e3,e7,2500,2500,1544,1444,14996,-14996,500,500,New-York,Singapore,12:00:00
agr46,a46,10/11/12,regulatoryOTC,,e3,e7,2500,2500,1545,1445,0,0,500,500,New-York,Singapore,12:00:00
agr47,a47,11/11/12,cleared,LCH Clearnet LTD,e3,,,,,,,,,,,,12:00:00
agr48,a48,12/11/12,cleared,LCH Clearnet LTD,e4,,,,,,,,,,,,12:00:00
agr49,a49,13/11/12,bilateralOTC,,e4,e9,2500,2500,1548,1448,0,0,500,500,London,London,12:00:00
agr50,a50,14/11/12,regulatoryOTC,,e5,e6,2500,2500,1549,1449,0,0,500,500,New-York,Singapore,12:00:00
agr51,a51,13/11/12,cleared,LCH Clearnet LTD,e1,,,,,,,,,,,,12:00:00
agr52,a52,14/11/12,cleared,LCH Clearnet LTD,e1,,,,,,,,,,,,12:00:00
agr53,a53,15/11/12,bilateralOTC,,e2,e7,2500,2500,1552,1452,-50000,50000,500,500,London,Singapore,12:00:00
agr54,a54,16/11/12,regulatoryOTC,,e2,e8,2500,2500,1553,1453,-75000,75000,500,500,London,Paris,12:00:00
agr55,a55,17/11/12,cleared,LCH Clearnet LTD,e3,,,,,,,,,,,,12:00:00
