Date,creationTime,PV,Currency,TradeId,Source,,,,,,,,,,
27/11/16,12:00:00,20005,USD,swopt5,Client,,,28/11/16,12:00:00,-5000,USD,swopt5,Client,,
28/11/16,12:00:00,24054400,USD,irsvt1,Client,,,,,,,,,,
28/11/16,12:00:00,21020000,USD,irsvt2,Client,,,,,,,,,,
28/11/16,12:00:00,7530000,USD,irsvt3,Client,,,,,,,,,,
28/11/16,12:00:00,5040000,USD,irsvt4,Client,,,,,,,,,,
28/11/16,12:00:00,1050000,USD,irsvt5,Client,,,,,,,,,,
28/11/16,12:00:00,22990000,USD,irsft1,Client,,,,,,,,,,
28/11/16,12:00:00,20980000,USD,irsft2,Client,,,,,,,,,,
28/11/16,12:00:00,7470000,USD,irsft3,Client,,,,,,,,,,
28/11/16,12:00:00,4960000,USD,irsft4,Client,,,,,,,,,,
28/11/16,12:00:00,950000,USD,irsft5,Client,,,,,,,,,,
28/11/16,12:00:00,9000000,USD,cdst1,Client,,,,,,,,,,
28/11/16,12:00:00,15000000,USD,cdst2,Client,,,,,,,,,,
28/11/16,12:00:00,9000002,USD,cdst3,Client,,,,,,,,,,
28/11/16,12:00:00,15000001,USD,cdst4,Client,,,,,,,,,,
28/11/16,12:00:00,9000004,USD,cdst5,Client,,,,,,,,,,
28/11/16,12:00:00,30500,USD,ndft1,Client,,,,,,,,,,
28/11/16,12:00:00,30501,USD,ndft2,Client,,,,,,,,,,
28/11/16,12:00:00,30502,USD,ndft3,Client,,,,,,,,,,
28/11/16,12:00:00,30503,USD,ndft4,Client,,,,,,,,,,
28/11/16,12:00:00,30504,USD,ndft5,Client,,,,,,,,,,
28/11/16,12:00:00,-5000,USD,fxsi1,Client,,,,,,,,,,
28/11/16,12:00:00,-4999,USD,fxsi2,Client,,,,,,,,,,
28/11/16,12:00:00,-4998,USD,fxsi3,Client,,,,,,,,,,
28/11/16,12:00:00,-4997,USD,fxsi4,Client,,,,,,,,,,
28/11/16,12:00:00,-4996,USD,fxsi5,Client,,,,,,,,,,
28/11/16,12:00:00,-150000,USD,fxsw1,Client,,,,,,,,,,
28/11/16,12:00:00,-250000,USD,fxsw2,Client,,,,,,,,,,
28/11/16,12:00:00,-170000,USD,fxsw3,Client,,,,,,,,,,
28/11/16,12:00:00,-230000,USD,fxsw4,Client,,,,,,,,,,
28/11/16,12:00:00,0,USD,fxsw5,Client,,,,,,,,,,
28/11/16,12:00:00,30500,USD,optv1,Client,,,,,,,,,,
28/11/16,12:00:00,30501,USD,optv2,Client,,,,,,,,,,
28/11/16,12:00:00,30502,USD,optv3,Client,,,,,,,,,,
28/11/16,12:00:00,30503,USD,optv4,Client,,,,,,,,,,
28/11/16,12:00:00,30504,USD,optv5,Client,,,,,,,,,,
28/11/16,12:00:00,30500,USD,optb1,Client,,,,,,,,,,
28/11/16,12:00:00,30501,USD,optb2,Client,,,,,,,,,,
28/11/16,12:00:00,30502,USD,optb3,Client,,,,,,,,,,
28/11/16,12:00:00,30503,USD,optb4,Client,,,,,,,,,,
28/11/16,12:00:00,30504,USD,optb5,Client,,,,,,,,,,
28/11/16,12:00:00,-15000,USD,fra1,Client,,,,,,,,,,
28/11/16,12:00:00,-14999,USD,fra2,Client,,,,,,,,,,
28/11/16,12:00:00,-14998,USD,fra3,Client,,,,,,,,,,
28/11/16,12:00:00,-14997,USD,fra4,Client,,,,,,,,,,
28/11/16,12:00:00,-14996,USD,fra5,Client,,,,,,,,,,
28/11/16,12:00:00,0,USD,zcs1,Client,,,,,,,,,,
28/11/16,12:00:00,0,USD,zcs2,Client,,,,,,,,,,
28/11/16,12:00:00,0,USD,zcs3,Client,,,,,,,,,,
28/11/16,12:00:00,0,USD,zcs4,Client,,,,,,,,,,
28/11/16,12:00:00,0,USD,zcs5,Client,,,,,,,,,,
28/11/16,12:00:00,-15000,USD,swopt1,Client,,,,,,,,,,
28/11/16,12:00:00,-20000,USD,swopt2,Client,,,,,,,,,,
28/11/16,12:00:00,50000,USD,swopt3,Client,,,,,,,,,,
28/11/16,12:00:00,75000,USD,swopt4,Client,,,,,,,,,,
28/11/16,12:00:00,-5000,USD,swopt5,Client,,,,,,,,,,
