accountId,assetId,quantities,availableQuantities,deployedQuantities,departedQuantities,arrivingQuantities,businessTimeFrom,businessTimeTo
CustodianAccount1B,XS1122061242,100,100,0,0,0,08:33,20:33
CustodianAccount1B,GB00B1VWPC84,100000000,100000000,0,0,0,08:34,20:34
CustodianAccount1B,GB00B4YRFP41,100000000,100000000,0,0,0,08:35,20:35
CustodianAccount1B,FR0012634558,1000000,1000000,0,0,0,08:36,20:36
CustodianAccount1B,FR0013101466,1000000,1000000,0,0,0,08:37,20:37
CustodianAccount1B,FR0120746609,1000000,1000000,0,0,0,08:38,20:38
CustodianAccount1B,FR0000570905,4000000,4000000,0,0,0,08:39,20:39
CustodianAccount1B,FR0000570947,4000000,4000000,0,0,0,08:40,20:40
CustodianAccount1B,US50064FAJ30,1000,1000,0,0,0,08:41,20:41
CustodianAccount1B,XS0277265269,1000,1000,0,0,0,08:42,20:42
CustodianAccount1B,KR103501G4C0,100,100,0,0,0,08:43,20:43
CustodianAccount1B,KR103501G5C7,100,100,0,0,0,08:44,20:44
CustodianAccount1B,KR1035027062,100,100,0,0,0,08:45,20:45
CustodianAccount1C,US38141G1040,1000,1000,0,0,0,08:46,20:46
CustodianAccount1C,US46625H1005,1000,1000,0,0,0,08:47,20:47
CustodianAccount1C,US3696041033,1000,1000,0,0,0,08:48,20:48
CustodianAccount1C,US26613Q1067,1000,1000,0,0,0,08:49,20:49
CustodianAccount1C,US30231G1022,1000,1000,0,0,0,08:50,20:50
CustodianAccount1C,US4592001014,1000,1000,0,0,0,08:51,20:51
CustodianAccount1C,US5801351017,1000,1000,0,0,0,08:52,20:52
CustodianAccount1C,US1912161007,1000,1000,0,0,0,08:53,20:53
CustodianAccount1C,US0970231058,1000,1000,0,0,0,08:54,20:54
CustodianAccount1C,US88579Y1010,1000,1000,0,0,0,08:55,20:55
CustodianAccount1C,US7427181091,1000,1000,0,0,0,08:56,20:56
CustodianAccount1C,GB00B03MLX29,1000,1000,0,0,0,08:57,20:57
CustodianAccount1C,GB0002374006,1000,1000,0,0,0,08:58,20:58
CustodianAccount1C,GB0002875804,1000,1000,0,0,0,08:59,20:59
CustodianAccount1C,GB0000031285,1000,1000,0,0,0,09:00,21:00
CustodianAccount1C,GB0009252882,1000,1000,0,0,0,09:01,21:01
CustodianAccount1C,GB00BYXK6398,1000,1000,0,0,0,09:02,21:02
CustodianAccount1C,SG1V61937297,1000,1000,0,0,0,09:03,21:03
CustodianAccount1C,SG1W45939194,1000,1000,0,0,0,09:04,21:04
CustodianAccount1C,SG1L01001701,1000,1000,0,0,0,09:05,21:05
CustodianAccount1D,SGD,5000000,5000000,0,0,0,09:06,21:06
CustodianAccount1D,JPY,5000000,5000000,0,0,0,09:07,21:07
CustodianAccount1D,USD,5000000,5000000,0,0,0,09:08,21:08
CustodianAccount1D,GBP,5000000,5000000,0,0,0,09:09,21:09
CustodianAccount1D,EUR,5000000,5000000,0,0,0,09:10,21:10
CustodianAccount1E,CNY,5000000,5000000,0,0,0,09:11,21:11
CustodianAccount1E,AUD,5000000,5000000,0,0,0,09:12,21:12
CustodianAccount1E,HKD,5000000,5000000,0,0,0,09:13,21:13
CustodianAccount1E,CAD,5000000,5000000,0,0,0,09:14,21:14
