ISIN,Issuer,information
CA13506ZES98,CANADA (GOVERNMENT),"{""identity"":""232"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":1000,""idType"":""ISIN"",""timeToMaturityYears"":12.624657534246575,""rating"":""AAA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""CA-BOND"",""type"":""CBOND"",""timeToMaturityDays"":4608,""ISIN"":""CA13506ZES98"",""ratingScore"":""100"",""price"":71.527,""maturityDate"":""2030/01/12"",""yield"":0,""minUnitValue"":1000,""name"":""CANADA (GOVERNMENT)"",""currency"":""CAD"",""id"":""CA13506ZES98"",""minUnit"":1,""issueDate"":""2004/02/24""}}"
CA13506ZEU45,CANADA (GOVERNMENT),"{""identity"":""233"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":1000,""idType"":""ISIN"",""timeToMaturityYears"":13.624657534246575,""rating"":""AAA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""CA-BOND"",""type"":""CBOND"",""timeToMaturityDays"":4973,""ISIN"":""CA13506ZEU45"",""ratingScore"":""100"",""price"":68.977,""maturityDate"":""2031/01/12"",""yield"":0,""minUnitValue"":1000,""name"":""CANADA (GOVERNMENT)"",""currency"":""CAD"",""id"":""CA13506ZEU45"",""minUnit"":1,""issueDate"":""2004/02/24""}}"
CA135087A875,CANADA (GOVERNMENT),"{""identity"":""234"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":1000,""idType"":""ISIN"",""timeToMaturityYears"":0.5917808219178082,""rating"":""AAA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""CA-BOND"",""type"":""CBOND"",""timeToMaturityDays"":216,""ISIN"":""CA135087A875"",""ratingScore"":""100"",""price"":100.488,""maturityDate"":""2018/01/03"",""yield"":0,""minUnitValue"":1000,""name"":""CANADA (GOVERNMENT)"",""currency"":""CAD"",""id"":""CA135087A875"",""minUnit"":1,""issueDate"":""2012/11/13""}}"
CA135087C939,CANADA (GOVERNMENT),"{""identity"":""235"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":1000,""idType"":""ISIN"",""timeToMaturityYears"":46.64657534246575,""rating"":""AAA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""CA-BOND"",""type"":""CBOND"",""timeToMaturityDays"":17026,""ISIN"":""CA135087C939"",""ratingScore"":""100"",""price"":122.641,""maturityDate"":""2064/01/12"",""yield"":0,""minUnitValue"":1000,""name"":""CANADA (GOVERNMENT)"",""currency"":""CAD"",""id"":""CA135087C939"",""minUnit"":1,""issueDate"":""2014/01/05""}}"
CA135087F585,CANADA (GOVERNMENT),"{""identity"":""236"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":1000,""idType"":""ISIN"",""timeToMaturityYears"":3.610958904109589,""rating"":""AAA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""CA-BOND"",""type"":""CBOND"",""timeToMaturityDays"":1318,""ISIN"":""CA135087F585"",""ratingScore"":""100"",""price"":99.394,""maturityDate"":""2021/01/09"",""yield"":0,""minUnitValue"":1000,""name"":""CANADA (GOVERNMENT)"",""currency"":""CAD"",""id"":""CA135087F585"",""minUnit"":1,""issueDate"":""2016/11/04""}}"
CA135087WL43,CANADA (GOVERNMENT),"{""identity"":""237"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":1000,""idType"":""ISIN"",""timeToMaturityYears"":11.608219178082193,""rating"":""AAA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""CA-BOND"",""type"":""CBOND"",""timeToMaturityDays"":4237,""ISIN"":""CA135087WL43"",""ratingScore"":""100"",""price"":145.371,""maturityDate"":""2029/01/06"",""yield"":0,""minUnitValue"":1000,""name"":""CANADA (GOVERNMENT)"",""currency"":""CAD"",""id"":""CA135087WL43"",""minUnit"":1,""issueDate"":""1998/02/02""}}"
DK0009918138,"DENMARK, KINDOM OF (GOVERNMENT)","{""identity"":""250"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":0.01,""idType"":""ISIN"",""timeToMaturityYears"":7.367123287671233,""rating"":""AAA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""DK-BOND"",""type"":""BOND"",""timeToMaturityDays"":2689,""ISIN"":""DK0009918138"",""ratingScore"":""100"",""price"":151.677,""maturityDate"":""2024/10/11"",""yield"":0,""minUnitValue"":0.01,""name"":""DENMARK, KINGDOM OF (GOVERNMENT)"",""currency"":""DKK"",""id"":""DK0009918138"",""minUnit"":1,""issueDate"":""1994/11/04""}}"
FR0012634558,"FRANCE, REPUBLIC OF (GOVERNMENT)","{""identity"":""203"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":1,""idType"":""ISIN"",""timeToMaturityYears"":0.736986301369863,""rating"":""AA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""FR-OAT"",""type"":""BOND"",""timeToMaturityDays"":269,""ISIN"":""FR0012634558"",""ratingScore"":""98"",""price"":100.762,""maturityDate"":""2018/02/25"",""yield"":0,""minUnitValue"":1000,""name"":""FRANCE (GOVT OF)"",""currency"":""EUR"",""id"":""FR0012634558"",""minUnit"":1000,""issueDate"":""2015/03/23""}}"
FR0013101466,"FRANCE, REPUBLIC OF (GOVERNMENT)","{""identity"":""204"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":1,""idType"":""ISIN"",""timeToMaturityYears"":1.736986301369863,""rating"":""AA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""FR-OAT"",""type"":""BOND"",""timeToMaturityDays"":634,""ISIN"":""FR0013101466"",""ratingScore"":""98"",""price"":100.943,""maturityDate"":""2019/02/25"",""yield"":0,""minUnitValue"":1000,""name"":""FRANCE (GOVT OF)"",""currency"":""EUR"",""id"":""FR0013101466"",""minUnit"":1000,""issueDate"":""2016/01/25""}}"
FR0120746609,"FRANCE, REPUBLIC OF (GOVERNMENT)","{""identity"":""205"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":1,""idType"":""ISIN"",""timeToMaturityYears"":0.14794520547945206,""rating"":""AA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""FR-BTAN"",""type"":""NOTE"",""timeToMaturityDays"":54,""ISIN"":""FR0120746609"",""ratingScore"":""98"",""price"":101.935,""maturityDate"":""2017/07/25"",""yield"":0,""minUnitValue"":1000,""name"":""FRENCH TREASURY NOTE"",""currency"":""EUR"",""id"":""FR0120746609"",""minUnit"":1000,""issueDate"":""2012/07/24""}}"
FR0000570905,"FRANCE, REPUBLIC OF (GOVERNMENT)","{""identity"":""206"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":0.25,""idType"":""ISIN"",""timeToMaturityYears"":1.4,""rating"":""#N/A N/A"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""FR-STRIP"",""type"":""BOND"",""timeToMaturityDays"":511,""ISIN"":""FR0000570905"",""ratingScore"":""98"",""price"":101.102,""maturityDate"":""2018/10/25"",""yield"":0,""minUnitValue"":1000,""name"":""FRANCE O.A.T. STRIP"",""currency"":""EUR"",""id"":""FR0000570905"",""minUnit"":4000,""issueDate"":""1991/06/12""}}"
FR0000570947,"FRANCE, REPUBLIC OF (GOVERNMENT)","{""identity"":""207"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":0.25,""idType"":""ISIN"",""timeToMaturityYears"":2.4,""rating"":""#N/A N/A"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""FR-STRIP"",""type"":""BOND"",""timeToMaturityDays"":876,""ISIN"":""FR0000570947"",""price"":101.02,""maturityDate"":""2019/10/25"",""yield"":0,""minUnitValue"":1000,""name"":""FRANCE O.A.T. STRIP"",""currency"":""EUR"",""id"":""FR0000570947"",""minUnit"":4000,""issueDate"":""1991/06/12""}}"
FR0000570897,"FRANCE, REPUBLIC OF (GOVERNMENT)","{""identity"":""251"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":0.25,""idType"":""ISIN"",""timeToMaturityYears"":0.8986301369863013,""rating"":""AA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""FR-STRIP"",""type"":""BOND"",""timeToMaturityDays"":328,""ISIN"":""FR0000570897"",""ratingScore"":""98"",""price"":100.435,""maturityDate"":""2018/04/25"",""yield"":0,""minUnitValue"":0.25,""name"":""FRANCE, REPUBLIC OF (GOVERNMENT)"",""currency"":""EUR"",""id"":""FR0000570897"",""minUnit"":1,""issueDate"":""1992/11/05""}}"
FR0000570905,"FRANCE, REPUBLIC OF (GOVERNMENT)","{""identity"":""252"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":0.25,""idType"":""ISIN"",""timeToMaturityYears"":1.4,""rating"":""AA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""FR-STRIP"",""type"":""BOND"",""timeToMaturityDays"":511,""ISIN"":""FR0000570905"",""ratingScore"":""98"",""price"":100.735,""maturityDate"":""2018/10/25"",""yield"":0,""minUnitValue"":0.25,""name"":""FRANCE, REPUBLIC OF (GOVERNMENT)"",""currency"":""EUR"",""id"":""FR0000570905"",""minUnit"":1,""issueDate"":""1991/12/06""}}"
FR0000571069,"FRANCE, REPUBLIC OF (GOVERNMENT)","{""identity"":""253"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":0.25,""idType"":""ISIN"",""timeToMaturityYears"":5.901369863013699,""rating"":""AA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""FR-STRIP"",""type"":""BOND"",""timeToMaturityDays"":2154,""ISIN"":""FR0000571069"",""ratingScore"":""98"",""price"":100.075,""maturityDate"":""2023/04/25"",""yield"":0,""minUnitValue"":0.25,""name"":""FRANCE, REPUBLIC OF (GOVERNMENT)"",""currency"":""EUR"",""id"":""FR0000571069"",""minUnit"":1,""issueDate"":""1992/11/05""}}"
FR0000578593,"FRANCE, REPUBLIC OF (GOVERNMENT)","{""identity"":""254"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":0.25,""idType"":""ISIN"",""timeToMaturityYears"":14.408219178082192,""rating"":""AA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""FR-STRIP"",""type"":""BOND"",""timeToMaturityDays"":5259,""ISIN"":""FR0000578593"",""ratingScore"":""98"",""price"":83.17,""maturityDate"":""2031/10/25"",""yield"":0,""minUnitValue"":0.25,""name"":""FRANCE, REPUBLIC OF (GOVERNMENT)"",""currency"":""EUR"",""id"":""FR0000578593"",""minUnit"":1,""issueDate"":""2001/12/06""}}"
FR0000578601,"FRANCE, REPUBLIC OF (GOVERNMENT)","{""identity"":""255"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":0.25,""idType"":""ISIN"",""timeToMaturityYears"":15.41095890410959,""rating"":""AA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""FR-STRIP"",""type"":""BOND"",""timeToMaturityDays"":5625,""ISIN"":""FR0000578601"",""ratingScore"":""98"",""price"":81.135,""maturityDate"":""2032/10/25"",""yield"":0,""minUnitValue"":0.25,""name"":""FRANCE, REPUBLIC OF (GOVERNMENT)"",""currency"":""EUR"",""id"":""FR0000578601"",""minUnit"":1,""issueDate"":""2001/12/06""}}"
FR0010482547,"FRANCE, REPUBLIC OF (GOVERNMENT)","{""identity"":""256"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":0.25,""idType"":""ISIN"",""timeToMaturityYears"":9.153424657534247,""rating"":""AA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""FR-STRIP"",""type"":""BOND"",""timeToMaturityDays"":3341,""ISIN"":""FR0010482547"",""ratingScore"":""98"",""price"":92.995,""maturityDate"":""2026/07/25"",""yield"":0,""minUnitValue"":0.25,""name"":""FRANCE, REPUBLIC OF (GOVERNMENT)"",""currency"":""EUR"",""id"":""FR0010482547"",""minUnit"":1,""issueDate"":""2007/03/14""}}"
DE0001135382,,"{""identity"":""172"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":0.01,""idType"":""ISIN"",""rating"":""AAA"",""timeToMaturityYears"":2.0904109589041098,""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""DE-NOTE5.5"",""type"":""BOND"",""timeToMaturityDays"":763,""ISIN"":""DE0001135382"",""ratingScore"":""100"",""price"":101.505,""maturityDate"":""2019/07/04"",""yield"":0,""minUnitValue"":0.01,""name"":""BUNDESOBLIGATION"",""currency"":""EUR"",""id"":""DE0001135382"",""minUnit"":1,""issueDate"":""2009/05/20""}}"
DE0001135481,"GERMANY, FEDERAL REPUBLIC OF (GOVERNMENT)","{""identity"":""173"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":0.01,""idType"":""ISIN"",""timeToMaturityYears"":27.10958904109589,""rating"":""AAA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""DE-BILL"",""type"":""BILL"",""timeToMaturityDays"":9895,""ISIN"":""DE0001135481"",""ratingScore"":""100"",""price"":100.18,""maturityDate"":""2044/07/04"",""yield"":0,""minUnitValue"":0.01,""name"":""GERMAN TREASURY BILL"",""currency"":""EUR"",""id"":""DE0001135481"",""minUnit"":1,""issueDate"":""2012/04/25""}}"
DE0001104644,,"{""identity"":""176"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":0.01,""idType"":""ISIN"",""timeToMaturityYears"":1.0383561643835617,""rating"":""AAA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""DE-NOTE2"",""type"":""TNOTE"",""timeToMaturityDays"":379,""ISIN"":""DE0001104644"",""ratingScore"":""100"",""price"":100.343,""maturityDate"":""2018/06/15"",""yield"":0,""minUnitValue"":0.01,""name"":""BUNDESSCHATZANWEISUNGEN"",""currency"":""EUR"",""id"":""DE0001104644"",""minUnit"":1,""issueDate"":""2016/05/11""}}"
DE0001104636,,"{""identity"":""178"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":0.01,""idType"":""ISIN"",""rating"":""AAA"",""timeToMaturityYears"":0.7890410958904109,""ACUOCategory"":""MM Instruments"",""ICADCode"":""DE-NOTE2"",""type"":""TNOTE"",""timeToMaturityDays"":288,""ISIN"":""DE0001104636"",""ratingScore"":""100"",""price"":100.96,""maturityDate"":""2018/03/16"",""yield"":0,""minUnitValue"":1000,""name"":""BUNDESSCHATZANWEISUNGEN"",""currency"":""EUR"",""id"":""DE0001104636"",""minUnit"":100000,""issueDate"":""2016/02/12""}}"
DE0001141737,,"{""identity"":""179"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":0.01,""idType"":""ISIN"",""rating"":""AAA"",""timeToMaturityYears"":3.8575342465753426,""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""DE-NOTE5.5"",""type"":""BOND"",""timeToMaturityDays"":1408,""ISIN"":""DE0001141737"",""ratingScore"":""100"",""price"":101.505,""maturityDate"":""2021/04/09"",""yield"":0,""minUnitValue"":1000,""name"":""BUNDESOBLIGATION"",""currency"":""EUR"",""id"":""DE0001141737"",""minUnit"":100000,""issueDate"":""2016/02/05""}}"
DE0001108504,"GERMANY, FEDERAL REPUBLIC OF (GOVERNMENT)","{""identity"":""238"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":0.01,""idType"":""ISIN"",""timeToMaturityYears"":21.863013698630137,""rating"":""AAA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""DE-BOND"",""type"":""BOND"",""timeToMaturityDays"":7980,""ISIN"":""DE0001108504"",""ratingScore"":""100"",""price"":79.739,""maturityDate"":""2039/04/07"",""yield"":0,""minUnitValue"":0.01,""name"":""GERMANY, FEDERAL REPUBLIC OF (GOVERNMENT)"",""currency"":""EUR"",""id"":""DE0001108504"",""minUnit"":1,""issueDate"":""2007/01/26""}}"
DE0001108520,"GERMANY, FEDERAL REPUBLIC OF (GOVERNMENT)","{""identity"":""239"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":0.01,""idType"":""ISIN"",""timeToMaturityYears"":0.8328767123287671,""rating"":""AAA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""DE-BOND"",""type"":""BOND"",""timeToMaturityDays"":304,""ISIN"":""DE0001108520"",""ratingScore"":""100"",""price"":100.473,""maturityDate"":""2018/04/01"",""yield"":0,""minUnitValue"":0.01,""name"":""GERMANY, FEDERAL REPUBLIC OF (GOVERNMENT)"",""currency"":""EUR"",""id"":""DE0001108520"",""minUnit"":1,""issueDate"":""2007/11/16""}}"
DE0001108595,"GERMANY, FEDERAL REPUBLIC OF (GOVERNMENT)","{""identity"":""240"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":0.01,""idType"":""ISIN"",""timeToMaturityYears"":24.865753424657534,""rating"":""AAA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""DE-BOND"",""type"":""BOND"",""timeToMaturityDays"":9076,""ISIN"":""DE0001108595"",""ratingScore"":""100"",""price"":75.2055,""maturityDate"":""2042/04/07"",""yield"":0,""minUnitValue"":0.01,""name"":""GERMANY, FEDERAL REPUBLIC OF (GOVERNMENT)"",""currency"":""EUR"",""id"":""DE0001108595"",""minUnit"":1,""issueDate"":""2010/04/07""}}"
DE0001108603,"GERMANY, FEDERAL REPUBLIC OF (GOVERNMENT)","{""identity"":""241"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":0.01,""idType"":""ISIN"",""timeToMaturityYears"":2.8575342465753426,""rating"":""AAA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""DE-BOND"",""type"":""BOND"",""timeToMaturityDays"":1043,""ISIN"":""DE0001108603"",""ratingScore"":""100"",""price"":102.1245,""maturityDate"":""2020/04/09"",""yield"":0,""minUnitValue"":0.01,""name"":""GERMANY, FEDERAL REPUBLIC OF (GOVERNMENT)"",""currency"":""EUR"",""id"":""DE0001108603"",""minUnit"":1,""issueDate"":""2010/08/20""}}"
DE0001108611,"GERMANY, FEDERAL REPUBLIC OF (GOVERNMENT)","{""identity"":""242"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":0.01,""idType"":""ISIN"",""timeToMaturityYears"":3.835616438356164,""rating"":""AAA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""DE-BOND"",""type"":""BOND"",""timeToMaturityDays"":1400,""ISIN"":""DE0001108611"",""ratingScore"":""100"",""price"":102.281,""maturityDate"":""2021/04/01"",""yield"":0,""minUnitValue"":0.01,""name"":""GERMANY, FEDERAL REPUBLIC OF (GOVERNMENT)"",""currency"":""EUR"",""id"":""DE0001108611"",""minUnit"":1,""issueDate"":""2010/11/26""}}"
DE0001108751,"GERMANY, FEDERAL REPUBLIC OF (GOVERNMENT)","{""identity"":""243"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":0.01,""idType"":""ISIN"",""timeToMaturityYears"":6.958904109589041,""rating"":""AAA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""DE-BOND"",""type"":""BOND"",""timeToMaturityDays"":2540,""ISIN"":""DE0001108751"",""ratingScore"":""100"",""price"":100.8235,""maturityDate"":""2024/05/15"",""yield"":0,""minUnitValue"":0.01,""name"":""GERMANY, FEDERAL REPUBLIC OF (GOVERNMENT)"",""currency"":""EUR"",""id"":""DE0001108751"",""minUnit"":1,""issueDate"":""2014/05/23""}}"
DE0001108769,"GERMANY, FEDERAL REPUBLIC OF (GOVERNMENT)","{""identity"":""244"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":0.01,""idType"":""ISIN"",""timeToMaturityYears"":7.210958904109589,""rating"":""AAA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""DE-BOND"",""type"":""BOND"",""timeToMaturityDays"":2632,""ISIN"":""DE0001108769"",""ratingScore"":""100"",""price"":100.605,""maturityDate"":""2024/08/15"",""yield"":0,""minUnitValue"":0.01,""name"":""GERMANY, FEDERAL REPUBLIC OF (GOVERNMENT)"",""currency"":""EUR"",""id"":""DE0001108769"",""minUnit"":1,""issueDate"":""2014/12/09""}}"
DE0001108777,"GERMANY, FEDERAL REPUBLIC OF (GOVERNMENT)","{""identity"":""245"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":0.01,""idType"":""ISIN"",""timeToMaturityYears"":7.715068493150685,""rating"":""AAA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""DE-BOND"",""type"":""BOND"",""timeToMaturityDays"":2816,""ISIN"":""DE0001108777"",""ratingScore"":""100"",""price"":99.856,""maturityDate"":""2025/02/15"",""yield"":0,""minUnitValue"":0.01,""name"":""GERMANY, FEDERAL REPUBLIC OF (GOVERNMENT)"",""currency"":""EUR"",""id"":""DE0001108777"",""minUnit"":1,""issueDate"":""2015/01/16""}}"
DE0001135069,"GERMANY, FEDERAL REPUBLIC OF (GOVERNMENT)","{""identity"":""246"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":0.01,""idType"":""ISIN"",""timeToMaturityYears"":10.841095890410958,""rating"":""AAA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""DE-BOND"",""type"":""BOND"",""timeToMaturityDays"":3957,""ISIN"":""DE0001135069"",""ratingScore"":""100"",""price"":154.959,""maturityDate"":""2028/04/01"",""yield"":0,""minUnitValue"":0.01,""name"":""GERMANY, FEDERAL REPUBLIC OF (GOVERNMENT)"",""currency"":""EUR"",""id"":""DE0001135069"",""minUnit"":1,""issueDate"":""1998/01/23""}}"
