rule,agreementId,haircutProvider,issuerCountry,issuerIsUSGovAgency,issuerName,assetType,type,assetType,maturityLb,maturityUb,moodyRating,rateType,trigger,valuationPercentage
csa-moody-haricut-0055,ag1,"""Moody""",,,,"""GOVT""","""bond""","""GOVT""",3,5,"""Aaa"", ""Aa1"", ""Aa2"", ""Aa3""","""fix""",2,0.93
csa-moody-haricut-0056,ag1,"""Moody""",,,,"""GOVT""","""bond""","""GOVT""",5,7,"""Aaa"", ""Aa1"", ""Aa2"", ""Aa3""","""fix""",2,0.92
csa-moody-haricut-0057,ag1,"""Moody""",,,,"""GOVT""","""bond""","""GOVT""",7,10,"""Aaa"", ""Aa1"", ""Aa2"", ""Aa3""","""fix""",2,0.91
csa-moody-haricut-0058,ag1,"""Moody""",,,,"""GOVT""","""bond""","""GOVT""",10,20,"""Aaa"", ""Aa1"", ""Aa2"", ""Aa3""","""fix""",2,0.86
csa-moody-haricut-0059,ag1,"""Moody""",,,,"""GOVT""","""bond""","""GOVT""",20,999,"""Aaa"", ""Aa1"", ""Aa2"", ""Aa3""","""fix""",2,0.84
csa-moody-haricut-0060,ag1,"""Moody""",,,,"""GOVT""","""bond""","""GOVT""",0,999,"""Aaa"", ""Aa1"", ""Aa2"", ""Aa3""","""float""",2,0.96
csa-moody-haricut-0061,ag1,"""Moody""","""UK""",,,"""GOVT""","""bond""","""GOVT""",0,1,"""AA-"",""AA"",""AA+"",""AAA"",""F1+""","""fix""",1,1
csa-moody-haricut-0062,ag1,"""Moody""","""UK""",,,"""GOVT""","""bond""","""GOVT""",1,2,"""AA-"",""AA"",""AA+"",""AAA"",""F1+""","""fix""",1,1
csa-moody-haricut-0063,ag1,"""Moody""","""UK""",,,"""GOVT""","""bond""","""GOVT""",2,3,"""AA-"",""AA"",""AA+"",""AAA"",""F1+""","""fix""",1,1
csa-moody-haricut-0064,ag1,"""Moody""","""UK""",,,"""GOVT""","""bond""","""GOVT""",3,5,"""AA-"",""AA"",""AA+"",""AAA"",""F1+""","""fix""",1,1
csa-moody-haricut-0065,ag1,"""Moody""","""UK""",,,"""GOVT""","""bond""","""GOVT""",5,7,"""AA-"",""AA"",""AA+"",""AAA"",""F1+""","""fix""",1,1
csa-moody-haricut-0066,ag1,"""Moody""","""UK""",,,"""GOVT""","""bond""","""GOVT""",7,10,"""AA-"",""AA"",""AA+"",""AAA"",""F1+""","""fix""",1,1
csa-moody-haricut-0067,ag1,"""Moody""","""UK""",,,"""GOVT""","""bond""","""GOVT""",10,20,"""AA-"",""AA"",""AA+"",""AAA"",""F1+""","""fix""",1,1
csa-moody-haricut-0068,ag1,"""Moody""","""UK""",,,"""GOVT""","""bond""","""GOVT""",20,999,"""AA-"",""AA"",""AA+"",""AAA"",""F1+""","""fix""",1,1
csa-moody-haricut-0069,ag1,"""Moody""","""UK""",,,"""GOVT""","""bond""","""GOVT""",0,999,"""AA-"",""AA"",""AA+"",""AAA"",""F1+""","""float""",1,1
csa-moody-haricut-0070,ag1,"""Moody""","""UK""",,,"""GOVT""","""bond""","""GOVT""",0,1,"""AA-"",""AA"",""AA+"",""AAA"",""F1+""","""fix""",2,0.99
csa-moody-haricut-0071,ag1,"""Moody""","""UK""",,,"""GOVT""","""bond""","""GOVT""",1,2,"""AA-"",""AA"",""AA+"",""AAA"",""F1+""","""fix""",2,0.98
csa-moody-haricut-0072,ag1,"""Moody""","""UK""",,,"""GOVT""","""bond""","""GOVT""",2,3,"""AA-"",""AA"",""AA+"",""AAA"",""F1+""","""fix""",2,0.97
csa-moody-haricut-0073,ag1,"""Moody""","""UK""",,,"""GOVT""","""bond""","""GOVT""",3,5,"""AA-"",""AA"",""AA+"",""AAA"",""F1+""","""fix""",2,0.96
csa-moody-haricut-0074,ag1,"""Moody""","""UK""",,,"""GOVT""","""bond""","""GOVT""",5,7,"""AA-"",""AA"",""AA+"",""AAA"",""F1+""","""fix""",2,0.95
csa-moody-haricut-0075,ag1,"""Moody""","""UK""",,,"""GOVT""","""bond""","""GOVT""",7,10,"""AA-"",""AA"",""AA+"",""AAA"",""F1+""","""fix""",2,0.94
csa-moody-haricut-0076,ag1,"""Moody""","""UK""",,,"""GOVT""","""bond""","""GOVT""",10,20,"""AA-"",""AA"",""AA+"",""AAA"",""F1+""","""fix""",2,0.9
csa-moody-haricut-0077,ag1,"""Moody""","""UK""",,,"""GOVT""","""bond""","""GOVT""",20,999,"""AA-"",""AA"",""AA+"",""AAA"",""F1+""","""fix""",2,0.88
csa-moody-haricut-0078,ag1,"""Moody""","""UK""",,,"""GOVT""","""bond""","""GOVT""",0,999,"""AA-"",""AA"",""AA+"",""AAA"",""F1+""","""float""",2,0.99
