ICADCode,type,currency,externalCost,interestRate,ticker,ratingLb,ratingUp,maturityLb,maturityUp,haircut,FXHaircut,agreementId,marginType
KR-CASH,CASH,KRW,0.0001,0,,,,,,0,0.05,ap1|ap2|ap3|ap4|ap5|ap6|ap7|ap8|ap9|ap10|ap11|ap12|ap13|ap14|ap15|ap16|ap17|ap18|ap19|ap20|ap21|ap22|ap23|ap24|ap25|ap26|ap27|ap28|ap29|ap30|ap44,Variation|Initial
NZ-CASH,CASH,NZD,0.0001,0,,,,,,0,0.05,ap1|ap2|ap3|ap4|ap5|ap6|ap7|ap8|ap9|ap10|ap11|ap12|ap13|ap14|ap15|ap16|ap17|ap18|ap19|ap20|ap21|ap22|ap23|ap24|ap25|ap26|ap27|ap28|ap29|ap30|ap44,Variation|Initial
,,,,,,,,,,,,,
SG-CASH,CASH,SGD,0.0001,0,,,,,,0,0,ap39|ap41|ap42,Variation|Initial
SG-CASH,CASH,SGD,0.0001,0,,,,,,0,0.05,ap31|ap32|ap33|ap34|ap35|ap36|ap37|ap38|ap40|ap43,Variation|Initial
JP-CASH,CASH,JPY,0.0001,0,,,,,,0,0,ap35|ap36|ap40,Variation|Initial
JP-CASH,CASH,JPY,0.0001,0,,,,,,0,0.05,ap31|ap32|ap33|ap34|ap35|ap36|ap37|ap38|ap40|ap43,Variation|Initial
US-CASH,CASH,USD,0.0001,0,,,,,,0,0,a34|a37|a38|a43,Variation|Initial
US-CASH,CASH,USD,0.0001,0,,,,,,0,0.05,ap31|ap32|ap33|ap35|ap36|ap39|ap40|ap41|ap42,Variation|Initial
GB-CASH,CASH,GBP,0.0001,0,,,,,,0,0,ap31|ap32|ap33,Variation|Initial
GB-CASH,CASH,GBP,0.0001,0,,,,,,0,0.05,ap34|ap35|ap36|ap37|ap38|ap39|ap40|ap41|ap42|ap43,Variation|Initial
EU-CASH,CASH,EUR,0.0001,0,,,,,,0,0.05,ap31|ap32|ap33|ap34|ap35|ap36|ap37|ap38|ap39|ap40|ap41|ap42|ap43,Variation|Initial
AU-CASH,CASH,AUD,0.0001,0,,,,,,0,0.05,ap31|ap32|ap33|ap34|ap35|ap36|ap37|ap38|ap39|ap40|ap41|ap42|ap43,Variation|Initial
HK-CASH,CASH,HKD,0.0001,0,,,,,,0,0.05,ap31|ap32|ap33|ap34|ap35|ap36|ap37|ap38|ap39|ap40|ap41|ap42|ap43,Variation|Initial
CA-CASH,CASH,CAD,0.0001,0,,,,,,0,0.05,ap31|ap32|ap33|ap34|ap35|ap36|ap37|ap38|ap39|ap40|ap41|ap42|ap43,Variation|Initial
NO-CASH,CASH,NOK,0.0001,0,,,,,,0,0.075,ap31|ap32|ap33|ap34|ap35|ap36|ap37|ap38|ap39|ap40|ap41|ap42|ap43,Variation|Initial
SE-CASH,CASH,SEK,0.0001,0,,,,,,0,0.05,ap31|ap32|ap33|ap34|ap35|ap36|ap37|ap38|ap39|ap40|ap41|ap42|ap43,Variation|Initial
KR-CASH,CASH,KRW,0.0001,0,,,,,,0,0.99,ap31|ap32|ap33|ap34|ap35|ap36|ap37|ap38|ap39|ap40|ap41|ap42|ap43,Variation|Initial
NZ-CASH,CASH,NZD,0.0001,0,,,,,,0,0.05,ap31|ap32|ap33|ap34|ap35|ap36|ap37|ap38|ap39|ap40|ap41|ap42|ap43,Variation|Initial
,,,,,,,,,,,,,
US-TBILL,TBILL,USD,0.00005,0,,AA,AAA,0,1,0.005,0,ap34|ap37|ap38|ap43,Initial
US-STRIP,TSTRIP,USD,0.00005,0,,A,AAA,0,30,0.11,0,ap34|ap37|ap38|ap43,Initial
US-TBILL,TBILL,USD,0.00005,0,,AA,AAA,0,1,0.005,0.05,ap31|ap32|ap33|ap35|ap36|ap39|ap40|ap41|ap42,Initial
US-STRIP,TSTRIP,USD,0.00005,0,,A,AAA,0,30,0.11,0.05,ap31|ap32|ap33|ap35|ap36|ap39|ap40|ap41|ap43,Initial
,,,,,,,,,,,,,
JP-JGB,BOND,JPY,0.00005,0,,A,AAA,0,5,0.05,0,ap35|ap36|ap40,Initial
JP-JGB,BOND,JPY,0.00005,0,,A,AAA,5,10,0.075,0,ap35|ap36|ap41,Initial
JP-JGB,BOND,JPY,0.00005,0,,A,AAA,10,30,0.09,0,ap35|ap36|ap42,Initial
JP-JGB,BOND,JPY,0.00005,0,,A,AAA,0,5,0.05,0.05,ap31|ap32|ap33|ap34|ap37|ap38|ap39|ap41|ap42|ap43,Initial
JP-JGB,BOND,JPY,0.00005,0,,A,AAA,5,10,0.075,0.05,ap31|ap32|ap33|ap34|ap37|ap38|ap39|ap41|ap42|ap44,Initial
JP-JGB,BOND,JPY,0.00005,0,,A,AAA,10,30,0.09,0.05,ap31|ap32|ap33|ap34|ap37|ap38|ap39|ap41|ap42|ap45,Initial
,,,,,,,,,,,,,
SG-TBILL,BILL,SGD,0.00005,0,,A,AAA,0,5,0.05,0,a39|a41|a42,Initial
SG-BOND,BOND,SGD,0.00005,0,,A,AAA,0,5,0.06,0,a39|a41|a42,Initial
SG-BOND,BOND,SGD,0.00005,0,,A,AAA,5,10,0.075,0,a39|a41|a42,Initial
SG-TBILL,BILL,SGD,0.00005,0,,A,AAA,0,5,0.05,0.05,a31|a32|a33|a34|a35|a36|a37|a38|a40|a43,Initial
SG-BOND,BOND,SGD,0.00005,0,,A,AAA,0,5,0.06,0.05,a31|a32|a33|a34|a35|a36|a37|a38|a40|a43,Initial
SG-BOND,BOND,SGD,0.00005,0,,A,AAA,5,10,0.075,0.05,a31|a32|a33|a34|a35|a36|a37|a38|a40|a43,Initial
,,,,,,,,,,,,,
GB-SUPR2,NOTE,USD,0.00005,0,,A,AAA,0,5,0.06,0,ap31|ap32|ap33,Initial
GB-SUPR2,BOND,GBP,0.00005,0,,A,AAA,5,10,0.075,0,ap31|ap32|ap34,Initial
GB-GILT,BOND,GBP,0.00005,0,,A,AAA,0,5,0.05,0,ap31|ap32|ap35,Initial
GB-GILT,BOND,GBP,0.00005,0,,A,AAA,5,10,0.075,0,ap31|ap32|ap36,Initial
GB-GILT,BOND,GBP,0.00005,0,,A,AAA,10,30,0.09,0,ap31|ap32|ap37,Initial
GB-GILT,BOND,GBP,0.00005,0,,A,AAA,30,999,0.105,0,ap31|ap32|ap38,Initial
GB-TBILL,BILL,GBP,0.00005,0,,A,AAA,0,5,0.05,0,ap31|ap32|ap39,Initial
GB-SUPR2,NOTE,USD,0.00005,0,,A,AAA,0,5,0.06,0.05,ap34|ap35|ap36|ap37|ap38|ap39|ap40|ap41|ap42|ap43,Initial
GB-SUPR2,BOND,GBP,0.00005,0,,A,AAA,5,10,0.075,0.05,ap34|ap35|ap36|ap37|ap38|ap39|ap40|ap41|ap42|ap43,Initial
GB-GILT,BOND,GBP,0.00005,0,,A,AAA,0,5,0.05,0.05,ap34|ap35|ap36|ap37|ap38|ap39|ap40|ap41|ap42|ap43,Initial
GB-GILT,BOND,GBP,0.00005,0,,A,AAA,5,10,0.075,0.05,ap34|ap35|ap36|ap37|ap38|ap39|ap40|ap41|ap42|ap43,Initial
GB-GILT,BOND,GBP,0.00005,0,,A,AAA,10,30,0.09,0.05,ap34|ap35|ap36|ap37|ap38|ap39|ap40|ap41|ap42|ap43,Initial
GB-GILT,BOND,GBP,0.00005,0,,A,AAA,30,999,0.105,0.05,ap34|ap35|ap36|ap37|ap38|ap39|ap40|ap41|ap42|ap43,Initial
GB-TBILL,BILL,GBP,0.00005,0,,A,AAA,0,5,0.05,0.05,ap34|ap35|ap36|ap37|ap38|ap39|ap40|ap41|ap42|ap43,Initial
,,,,,,,,,,,,,
AU-BILL,BILL,AUD,0.00005,0,,A,AAA,0,5,0.05,0.05,ap31|ap32|ap33|ap34|ap35|ap36|ap37|ap38|ap39|ap40|ap41|ap42|ap43,Initial
,,,,,,,,,,,,,
CA-BOND,CBOND,CAD,0.00005,0,,A,AAA,0,5,0.06,0.05,ap31|ap32|ap33|ap34|ap35|ap36|ap37|ap38|ap39|ap40|ap41|ap42|ap43,Initial
CA-BOND,CBOND,CAD,0.00005,0,,A,AAA,5,10,0.075,0.05,ap31|ap32|ap33|ap34|ap35|ap36|ap37|ap38|ap39|ap40|ap41|ap42|ap43,Initial
CA-BOND,CBOND,CAD,0.00005,0,,A,AAA,10,30,0.09,0.05,ap31|ap32|ap33|ap34|ap35|ap36|ap37|ap38|ap39|ap40|ap41|ap42|ap43,Initial
CA-BOND,CBOND,CAD,0.00005,0,,A,AAA,30,999,0.105,0.05,ap31|ap32|ap33|ap34|ap35|ap36|ap37|ap38|ap39|ap40|ap41|ap42|ap43,Initial
,,,,,,,,,,,,,
DE-NOTE2,NOTE,EUR,0.00005,0,,A,AAA,0,5,0.06,0.05,ap31|ap32|ap33|ap34|ap35|ap36|ap37|ap38|ap39|ap40|ap41|ap42|ap43,Initial
DE-NOTE5.5,NOTE,EUR,0.00005,0,,A,AAA,0,5,0.06,0.05,ap31|ap32|ap33|ap34|ap35|ap36|ap37|ap38|ap39|ap40|ap41|ap42|ap43,Initial
DE-NOTE5.5,NOTE,EUR,0.00005,0,,A,AAA,5,10,0.075,0.05,ap31|ap32|ap33|ap34|ap35|ap36|ap37|ap38|ap39|ap40|ap41|ap42|ap43,Initial
DE-BOND,BOND,EUR,0.00005,0,,A,AAA,10,30,0.09,0.05,ap31|ap32|ap33|ap34|ap35|ap36|ap37|ap38|ap39|ap40|ap41|ap42|ap43,Initial
DE-BOND,BOND,EUR,0.00005,0,,A,AAA,5,10,0.075,0.05,ap31|ap32|ap33|ap34|ap35|ap36|ap37|ap38|ap39|ap40|ap41|ap42|ap43,Initial
DE-BOND,BOND,EUR,0.00005,0,,A,AAA,0,5,0.06,0.05,ap31|ap32|ap33|ap34|ap35|ap36|ap37|ap38|ap39|ap40|ap41|ap42|ap43,Initial
DE-BILL,BILL,EUR,0.00005,0,,A,AAA,0,5,0.05,0.05,ap31|ap32|ap33|ap34|ap35|ap36|ap37|ap38|ap39|ap40|ap41|ap42|ap43,Initial
FR-OAT,BOND,EUR,0.00005,0,,A,AAA,0,5,0.06,0.05,ap31|ap32|ap33|ap34|ap35|ap36|ap37|ap38|ap39|ap40|ap41|ap42|ap43,Initial
FR-OAT,BOND,EUR,0.00005,0,,A,AAA,5,10,0.075,0.05,ap31|ap32|ap33|ap34|ap35|ap36|ap37|ap38|ap39|ap40|ap41|ap42|ap43,Initial
FR-BTAN,NOTE,EUR,0.00005,0,,A,AAA,0,5,0.06,0.05,ap31|ap32|ap33|ap34|ap35|ap36|ap37|ap38|ap39|ap40|ap41|ap42|ap43,Initial
FR-STRIP,BOND,EUR,0.00005,0,,A,AAA,0,5,0.06,0.05,ap31|ap32|ap33|ap34|ap35|ap36|ap37|ap38|ap39|ap40|ap41|ap42|ap43,Initial
FR-STRIP,BOND,EUR,0.00005,0,,A,AAA,5,10,0.075,0.05,ap31|ap32|ap33|ap34|ap35|ap36|ap37|ap38|ap39|ap40|ap41|ap42|ap43,Initial
FR-STRIP,BOND,EUR,0.00005,0,,A,AAA,10,30,0.09,0.05,ap31|ap32|ap33|ap34|ap35|ap36|ap37|ap38|ap39|ap40|ap41|ap42|ap43,Initial
,,,,,,,,,,,,,
US-EQUITY-S&P500,EQUITY,USD,0.00005,0,GS,,,,,0.3,0,ap34|ap37|ap38|ap43,Initial
US-EQUITY-S&P500,EQUITY,USD,0.00005,0,JPM,,,,,0.3,0,ap34|ap37|ap38|ap43,Initial
US-EQUITY-S&P500,EQUITY,USD,0.00005,0,GE,,,,,0.3,0,ap34|ap37|ap38|ap43,Initial
US-EQUITY-S&P500,EQUITY,USD,0.00005,0,XOM,,,,,0.3,0,ap34|ap37|ap38|ap43,Initial
US-EQUITY-S&P500,EQUITY,USD,0.00005,0,IBM,,,,,0.3,0,ap34|ap37|ap38|ap43,Initial
US-EQUITY-S&P500,EQUITY,USD,0.00005,0,MCD,,,,,0.3,0,ap34|ap37|ap38|ap43,Initial
US-EQUITY-S&P500,EQUITY,USD,0.00005,0,GS,,,,,0.3,0.05,ap31|ap32|ap33|ap34|ap35|ap36|ap37|ap38|ap39|ap40|ap41|ap42|ap43,Initial
US-EQUITY-S&P500,EQUITY,USD,0.00005,0,JPM,,,,,0.3,0.05,ap31|ap32|ap33|ap34|ap35|ap36|ap37|ap38|ap39|ap40|ap41|ap42|ap43,Initial
US-EQUITY-S&P500,EQUITY,USD,0.00005,0,GE,,,,,0.3,0.05,ap31|ap32|ap33|ap34|ap35|ap36|ap37|ap38|ap39|ap40|ap41|ap42|ap43,Initial
US-EQUITY-S&P500,EQUITY,USD,0.00005,0,XOM,,,,,0.3,0.05,ap31|ap32|ap33|ap34|ap35|ap36|ap37|ap38|ap39|ap40|ap41|ap42|ap43,Initial
US-EQUITY-S&P500,EQUITY,USD,0.00005,0,IBM,,,,,0.3,0.05,ap31|ap32|ap33|ap34|ap35|ap36|ap37|ap38|ap39|ap40|ap41|ap42|ap43,Initial
US-EQUITY-S&P500,EQUITY,USD,0.00005,0,MCD,,,,,0.3,0.05,ap31|ap32|ap33|ap34|ap35|ap36|ap37|ap38|ap39|ap40|ap41|ap42|ap43,Initial
