AgreementName,AmpId,AgreementId,MasterAgreementId,AgreementDate,Currency,Type,Threshold,Party1,Party2,MTA1,MTA2,Rounding1,Rounding2,HolidayZone1,HolidayZone2,NotificationTime,Tolerance,CounterpartCustodianId,BaseCurrency,Law,FXHaircut,interestTransfer,interestPaymentNetting,interestAdjustment,negativeInterest,dailyInterestCompounding,regime,marginCallEnabled,allowMultipleCallsPerDay,variationCallsEnabled,separateVariationCallsByCurrency,initialCallsEnabled,separateInitialCallsByCurrency,substitutionEnabled,timeZone,valuationAgentAmpId,soleCalculation,agreementEmailList
Palo US LLC v Counterparty AP1,,ap11,mp11,2013/28/03,NZD,legacy,0,X16SJBPCWP68U2WPJL6N,E865GVYCK5DT84PUCF94,500000,500000,500,500,New-York,New-York,00:00.0,0.1,CustodianAccount3AP,USD,English Law,0.08,A,A,A,A,NA,U.S.,1,0,1,0,1,0,1,GMT,,1,silin@acuo.com|stafani@acuo.com
Palo HK PLC v Counterparty AP2,,ap12,mp12,2013/29/03,USD,regulatory,0,BTP4W46BJCSBK5JHPZ9H,681C7POTKXR2F8G2H3E8,500000,500000,500,500,London,London,00:00.0,0.1,CustodianAccount3CP,USD,English Law,0.08,A,NA,NA,A,NA,Europe,1,0,1,0,1,0,1,GMT,,1,silin@acuo.com|stafani@acuo.com
Palo SG Pte Ltd v Counterparty AP3,,ap13,mp13,2015/29/07,SGD,legacy,0,67S3W5G97PLR6CFI0C21,WBQDLCV8W1OCZO4V5Q0V,500000,500000,500,500,Singapore,Singapore,00:00.0,0.1,CustodianAccount3AP,USD,English Law,0.08,A,A,A,A,NA,Singapore,1,0,1,0,1,0,1,GMT,,1,silin@acuo.com|stafani@acuo.com
Palo US LLC v Counterparty AP4,,ap14,mp14,2015/29/07,NOK,regulatory,0,X16SJBPCWP68U2WPJL6N,NL5DPC7A5XNNI628U6DG,500000,500000,500,500,New-York,Singapore,00:00.0,0.1,CustodianAccount3AP,USD,English Law,0.08,A,NA,NA,A,NA,U.S. ,1,0,1,0,1,0,1,GMT,,1,silin@acuo.com|stafani@acuo.com
Palo HK PLC v Counterparty AP5,,ap15,mp15,2015/29/07,SEK,legacy,0,BTP4W46BJCSBK5JHPZ9H,1ITLJ0FMV8XALGVAVLD5,500000,500000,500,500,London,New-York,00:00.0,0.1,CustodianAccount3BP,USD,English Law,0.08,A,A,A,A,NA,Europe,1,0,1,0,1,0,1,GMT,,1,silin@acuo.com|stafani@acuo.com
Palo SG Pte Ltd v Counterparty BP1,,ap16,mp16,2015/29/07,EUR,regulatory,0,67S3W5G97PLR6CFI0C21,CH7JW47SD059FDCYSLW8,500000,500000,500,500,Singapore,London,00:00.0,0.1,CustodianAccount4AP,USD,English Law,0.08,A,NA,NA,A,NA,Singapore,1,0,1,0,1,0,1,GMT,,1,silin@acuo.com|stafani@acuo.com
Palo US LLC v Counterparty BP2,,ap17,mp17,2015/09/07,GBP,legacy,0,X16SJBPCWP68U2WPJL6N,6FFIV0FKRMDE8R07TYOP,500000,500000,500,500,New-York,Singapore,00:00.0,0.1,CustodianAccount4BP,USD,English Law,0.08,A,A,A,A,NA,U.S.,1,0,1,0,1,0,1,GMT,,1,silin@acuo.com|stafani@acuo.com
Palo HK PLC v Counterparty BP3,,ap18,mp18,2015/29/07,KRW,regulatory,0,BTP4W46BJCSBK5JHPZ9H,Z44Y5TSH72O5OUPNSDKS,500000,500000,500,500,London,Singapore,00:00.0,0.1,CustodianAccount4CP,USD,English Law,0.08,A,NA,NA,A,NA,Europe,1,0,1,0,1,0,1,GMT,,1,silin@acuo.com|stafani@acuo.com
Palo SG Pte Ltd v Counterparty BP4,,ap19,mp19,2015/29/07,JPY,legacy,0,67S3W5G97PLR6CFI0C21,R2ZJ56N6X7RSRWT6AZX2,500000,500000,500,500,Singapore,New-York,00:00.0,0.1,CustodianAccount4CP,USD,English Law,0.08,A,A,A,A,NA,Singapore,1,0,1,0,1,0,1,GMT,,1,silin@acuo.com|stafani@acuo.com
Palo US LLC v Counterparty BP5,,ap20,mp20,2015/09/07,AUD,regulatory,0,X16SJBPCWP68U2WPJL6N,LJ7OIIYEMFNMZ5P3PMRN,500000,500000,500,500,New-York,London,00:00.0,0.1,CustodianAccount4BP,USD,English Law,0.08,A,NA,NA,A,NA,U.S.,1,0,1,0,1,0,1,GMT,,1,silin@acuo.com|stafani@acuo.com
Palo HK PLC v Counterparty AP1,,ap21,mp21,2014/05/05,CAD,legacy,0,BTP4W46BJCSBK5JHPZ9H,E865GVYCK5DT84PUCF94,500000,500000,500,500,London,Singapore,00:00.0,0.1,CustodianAccount3AP,USD,English Law,0.08,A,A,A,A,NA,Europe,1,0,1,0,1,0,1,GMT,,1,silin@acuo.com|stafani@acuo.com
Palo SG Pte Ltd v Counterparty AP2,,ap22,mp22,2014/06/05,NZD,regulatory,0,67S3W5G97PLR6CFI0C21,681C7POTKXR2F8G2H3E8,500000,500000,500,500,Singapore,Singapore,00:00.0,0.1,CustodianAccount3CP,USD,English Law,0.08,A,NA,NA,A,NA,Singapore,1,0,1,0,1,0,1,GMT,,1,silin@acuo.com|stafani@acuo.com
Palo US LLC v Counterparty AP3,,ap23,mp23,2013/28/03,USD,legacy,0,X16SJBPCWP68U2WPJL6N,WBQDLCV8W1OCZO4V5Q0V,500000,500000,500,500,New-York,New-York,00:00.0,0.1,CustodianAccount3AP,USD,English Law,0.08,A,A,A,A,NA,U.S.,1,0,1,0,1,0,1,GMT,,1,silin@acuo.com|stafani@acuo.com
Palo HK PLC v Counterparty AP4,,ap24,mp24,2013/29/03,SGD,regulatory,0,BTP4W46BJCSBK5JHPZ9H,NL5DPC7A5XNNI628U6DG,500000,500000,500,500,London,London,00:00.0,0.1,CustodianAccount3AP,USD,English Law,0.08,A,NA,NA,A,NA,Europe,1,0,1,0,1,0,1,GMT,,1,silin@acuo.com|stafani@acuo.com
Palo SG Pte Ltd v Counterparty AP5,,ap25,mp25,2015/29/07,NOK,legacy,0,67S3W5G97PLR6CFI0C21,1ITLJ0FMV8XALGVAVLD5,500000,500000,500,500,Singapore,Singapore,00:00.0,0.1,CustodianAccount3BP,USD,English Law,0.08,A,A,A,A,NA,Singapore,1,0,1,0,1,0,1,GMT,,1,silin@acuo.com|stafani@acuo.com
Palo US LLC v Counterparty BP1,,ap26,mp26,2015/29/07,SEK,regulatory,0,X16SJBPCWP68U2WPJL6N,CH7JW47SD059FDCYSLW8,500000,500000,500,500,New-York,Singapore,00:00.0,0.1,CustodianAccount4AP,USD,English Law,0.08,A,NA,NA,A,NA,U.S. ,1,0,1,0,1,0,1,GMT,,1,silin@acuo.com|stafani@acuo.com
Palo HK PLC v Counterparty BP2,,ap27,mp27,2015/29/07,EUR,legacy,0,BTP4W46BJCSBK5JHPZ9H,6FFIV0FKRMDE8R07TYOP,500000,500000,500,500,London,New-York,00:00.0,0.1,CustodianAccount4BP,USD,English Law,0.08,A,A,A,A,NA,Europe,1,0,1,0,1,0,1,GMT,,1,silin@acuo.com|stafani@acuo.com
Palo SG Pte Ltd v Counterparty BP3,,ap28,mp28,2015/29/07,GBP,regulatory,0,67S3W5G97PLR6CFI0C21,Z44Y5TSH72O5OUPNSDKS,500000,500000,500,500,Singapore,London,00:00.0,0.1,CustodianAccount4CP,USD,English Law,0.08,A,NA,NA,A,NA,Singapore,1,0,1,0,1,0,1,GMT,,1,silin@acuo.com|stafani@acuo.com
Palo US LLC v Counterparty BP4,,ap29,mp29,2015/09/07,KRW,legacy,0,X16SJBPCWP68U2WPJL6N,R2ZJ56N6X7RSRWT6AZX2,500000,500000,500,500,New-York,Singapore,00:00.0,0.1,CustodianAccount4CP,USD,English Law,0.08,A,A,A,A,NA,U.S.,1,0,1,0,1,0,1,GMT,,1,silin@acuo.com|stafani@acuo.com
Palo HK PLC v Counterparty BP5,,ap30,mp30,2015/29/07,JPY,regulatory,0,BTP4W46BJCSBK5JHPZ9H,LJ7OIIYEMFNMZ5P3PMRN,500000,500000,500,500,London,Singapore,00:00.0,0.1,CustodianAccount4BP,USD,English Law,0.08,A,NA,NA,A,NA,Europe,1,0,1,0,1,0,1,GMT,,1,silin@acuo.com|stafani@acuo.com
Palo AUS v Counterparty AP1,,ap44,mp44,2015/29/07,USD,legacy,0,Y1F6SNPABNIC9HJ16RKM,E865GVYCK5DT84PUCF94,500000,500000,500,500,London,Singapore,00:00.0,0.1,CustodianAccount3AP,USD,English Law,0.08,A,NA,NA,A,NA,Singapore,1,0,1,0,1,0,1,GMT,,1,silin@acuo.com|stafani@acuo.com
